,body
2766,بورس،هجرت،دارایکم،فارس،شفا و کمی ذو آهن 
2767,البته ذوب آهن و طلا و قاضی را فروختم
2768,که البته الان میبینم ذوب و طلا خوب دارن میرن بالا
2769,این سهم ها خیلی منو اذیت کرد و حتی مردم ناراضی هستن.ولی نمیدونم چرا بعضی ها رو این سهام تعصب دارند.خوب خودتون برید نمودارش ببینید قضاوت کنید.
2770,بعد در عوض فولاد،ثغرب،شستا،خگستر،فخوز و سیتا واقعا ازشون راضی هستم.با سود بالا.داریک هم هنوز باز نشده ببینم چجوریه.آدم همیشه باید واقعیت بگه.تعصب کور کورانه خوب نیست.'
2771,'درآمد شناسایی شده تیر ماه را نصف اعلام کرده بودند..
2772,این سهم پتانسیل بسیار بالایی دارد.'
2773,'با این گزارش عجیب و غریب چجوری دلتون میاد بفروشین🤔🤔 اصن داریم شرکت در این حد سود ساخته باشه ؟؟؟؟؟!!!
2774,یا نمیدونید عیار این سهم چیه
2775,یا قطعا نمیدونید که میفروشید😅
2776,شایدم دلتون سهمی میخواد ک به شبه بره بالا وقتی میبینین نمیره میگین بدرد نمیخوره
2777,به هر حال مرسی که میذارین ما این سهم رو بخریم و چقدر بازی گردان سهم خوش حاله کسی سراغ این سهم نمیاد و ریز ریز داره ب دارایی هاش اضافه میکنه'
2778,'دوستان نفروشید میخوان ازتون نوسان بگیرن
2779,وغدیر  اعتبار بورس ایرانه'
2780,'عجیب اما واقعی قیتش نزدیک بیست شده ولی ماشاءالله فروشنده هنوز روندشو تموم نکرده اقدام به فروش می کنه'
2781,'فروشندگان بهتره قبل از فروش به صورت های مالی منتشره در کدال توجه کنن 
2782,سود ۳ ماهه ۹۹ بیشتر از ۱۲ماهه ۹۸ هستش اینم لحاظ کنید'
2783,'ای کاش امروز باز نمیشد.'
2784,'نماد بورس امروز باز میشه🖐🏼'
2785,'حالا چرا باید همچین چیزی تا ۲۱ تعلیق باشه اخه'
2786,'عجب گندی زدن با این گزارش ماهیانشون
2787,نصف سودو اعلام نکرده بودن😂
2788,واسه همین موضوع نمادو تعلیق کردن
2789,احتمالن شنبه باید باز بشه بورس'
2790,'به نظرتون این 15 روز که بسته میمونه باز کنه چند درصد سود میده؟'
2791,'درسته که مدتی بسته میمونه ولی این امر باعث میشه خبر افزایش سرمایه پیشخور نشه. وقتی بعد از افزایش سرمایه باز بشه خیلی شارپ صعود میکنه. این رو هم در نظر داشته باشید از اصلاح این چند روز بازار در امان مونده'
2792,'هدف بلند مدت 33 هزارتومن'
2793,'تازه تا 21 تعلیغ شد بعدشم میگن مجمعش هست دو روز قبلش میبندن این وسط برای افزایش سرمایه هم یک هفته بسته میشه رفت تا شهریور . فرابورس رو یادتون هست که قبل مجمع دو روز باز بود'
2794,'عجب دیوانه خانه ایست.چه خبره تا 21؟؟؟تکلیف سهامدار چی میشه این وسط'
2795,'تا ۲۱ام قراره بسته باشه...😐😐😐یعنی خود سازمان بورس ک گزارش همه رو چک میکنه تو گزارشاش ابهام داره؟؟؟ 
2796,اینجا دیگه کجاست🤐'
2797,'قرار چی بشه منفی بشه یا مثبت بعد بازگشایی'
2798,'دیروز در مورد گزارش شرکت #بورس ابهاماتی وجود داشت و امروز اعلام شد به منظور بررسی وضعیت شفافیت اطلاعاتی ناشر ، نماد معاملاتی حداکثر تا تاریخ 1399/05/21 تعلیق می گردد.'
2799,'جالبه خودشون خودشونو تعلیق میکنن خخخخ'
2800,'دوستان چرا تعلیق شد ؟'
2801,'علت تعلیق چیه'
2802,'سهم رو بعمد و با قصد خارج کردن سهامداران خرد منفی میکنن..با برنامه کامپیتری نوشته شده کاملا مشخص بودش که اجازه حرکت به سهم رو نمیدن
2803,در بازار که بزرگان بازارش در بورس همچین بلایی سره سهامداران خرد میاورند...انتطار نداشته باشید که در سهام خرد دیگر ترتیب مردم رو در روز روشن ندهند.'
2804,'فردا اگر موبت معامله نسد من معامله گر نیستم'
2805,'تا امروز 10 درصد از سبدم سهم بورس بود و امروز با دیدن این حجم معاملات و دیدن گزارش سود آوری سهم تو کدال، فردا 10درصد دیگه از سبدمو میدم بورس میگیرم و در کل 20 درصد سبدم رو به بورس اختصاص میدم '
2806,'طبق الگوی مثلث هدف اول 35 هزارتومان است'
2807,'#بورس هم  گزارش ماهانه گذاشته و 1189 میلیارد ریال درامد ماه تیر شرکت بورس بوده است ! جمعا 4530 میلیارد ریال درامد داشته و کل این عدد دوره قبل 3678 میلیارد ریال بوده است  .'
2808,'انگار داره الگو سر و شانه میزنه 
2809,یا ابوالفضل
2810,یکی راهنمایی کنه لطفا چیکار کنیم بفروشیم یا نه ؟'
2811,'این لامذب که از سود و ضرر هر سهمی، سود میکنه. این دیگه چرا منفیه؟!'
2812,'از یازده به بعد احتمالا مثبت باشه'
2813,'سوپر گزارش در راه است.'
2814,'صبر 😁
2815,این عددا خاطره میشه به شرط دید یک ماهه
2816,چون همین یه ماه دگ نهایت مجمع ش هست'
2817,'پس کی قراره این رشد کنه ؟؟؟'
2818,'farsnews33897
2819,بریدحمایت دوستان'
2820,'الماس بازار‌ اوراق بهادار 
2821,مفته مفته این قیمتا'
2822,'دوستان سلام جهت برگزاری هرچه زودتر مجمع بورس وارد سایت زیر شده و حمایت کنید:
2823,farsnews 33897'
2824,'دوستان سلام جهت برگزاری هرچه زودتر مجمع بورس وارد سایت زیر شده و حمایت کنید:
2825,farsnews 33897'
2826,'دوستان وارد لینک زیر بشید و از برگزاری سریعتر مجمع سهام بورس حمایت کنید
2827,farsnews  33897'
2828,'اول صبح عجب صف خریدی فوق العاده است'
2829,'من مطمئنم که این سهام تو این ماه به 20000تومان حداقل میرسه ولی متاسفانه امروز خریدم انجام نشد و امیدوارم که بتونم این سهام رو فردا بخرم'
2830,'تحلیل پایین رو که نوشتم جدی نگیرید سم پاشی کار خوبی نیست این سهام واقعا ارزشمنده که وسوسه شدم سمپاشی کنم'
2831,'saberh69'
2832,'این تحلیل ها که اعلام میشه منطقی نیست من احتمال سقوط این سهام بخاطر لغو مجمع میدم حتی ممکنه به زیر خط حمایت سه ماهه برسه که بعید بنظر نمیاد بعضی ها با شایعه سازی در خصوص اعلام دعوت مجمع افزایش سرمایه این روز ها در صدد افزایش قیمت هستند که کاذب و بی معنی است این قیمت فعلی برای فروش مناسب است پیش بینی من با توجه به نمودار سال های پیشین سوددهی در برج هشت امسال است با امید موفقیت روزافزون شما'
2833,'دعوت برای حمایت از کمپین  برگزاری سریع‌تر مجمع افزایش سرمایه در بورس
2834,فارس من 33897'
2835,'تا ۱۸ هزارتومن هیچ مانعی سر راهش نیست
2836,تو این هفته چنتا افشای اطلاعات و سوپر گزارش ماهیانه داره
2837,سودش ۱۱ برابر شده'
2838,'بورس و فرابورس، یکی از اینها حتما باید تو پرتفولیو باشه
2839,آروم، حرفه ای، پر پارتی، بدرد نوسان گیری نمیخوره'
2840,'متاسفانه مجنع رو لغو کردن و پاسخگو هم نیستن که مجمع بعدی تاریخش کی هست...طبق معمول حقوق سهامدار فقط در حد حرف'
2841,'افزایش سرمایه ش چی شد پس ؟'
2842,'خب تا حجمه اومد سمت سهم های دولتی که باید اونا هم اصلاح کنن گفتن اصلاح تمومه😂😂😂
2843,دیگه اصلاح رو تموم کردن 
2844,خسته نباشید به دوستان
2845, سبزیارو جمع کنین🤣'
2846,'امروز آخرین فرصت ورود'
2847,'48ساعته دیگه میاد روکدال'
2848,'نمادبورس صود1100درصدی نسبت باسال مشابه'
2849,'بهترین اندیکاتور برای این نماد استوک هست. خوب دقت کنید هر موقع توی استوک خط آبی رنگ از زیر خط قرمز رنگ رو کراس کرده، سهم یه رشد خوب رو استارت کرده.'
2850,'دوستان شرکت بورس در تیر ماه در حدود 220 میلیارد سود ساخته بع عبارتی برابر با کل برج 1 و 2 یغنی برای هر سهم تقریبا 110 تومان.'
2851,'سلام دوستان کسی میدونه چطور بفهمیم از چه شماره حساب یا کارتی پول به کارگزاری یا همون کیف پولمون واریز شده ؟ جایی هست که دقیق بنویسه؟'
2852,'عالی'
2853,'طبق تحلیلی ک دیشب گذاشتم برگشت👌'
2854,'قشنگ طبق تحلیل داره میره جلو'
2855,'شرکت #بورس 3ماهه  1373 ریال سود محقق کرده است! واقعا عدد بالایی است در مدت مشابه این عدد  181 ریال بوده'
2856,'اینهمه گزارشهای عالی درامدی خبر خوب حتی سهم هنوز پیش خور هم نشده اصطلاحا مثلا مثل سخاش در سیمانی ها دیگه چی میخواید اخهههههه از اردرهای ترس نترسید هوشمند باشید لطفااااا و مطمئنان سود در سهامداری هست تجربه چند سالم میگه هم اعصابت راحته هم به بقیه کارات میرسی'
2857,'اخه نمیدونم کی میاد سهمی که حداقل 100 درصد افزایش سرمایه از انباشته داره بفروشه که احتمال داره تا حتی 200 درصد هم بشه چییییییییییییییییییی میخوای بخری چی سهمی که چند ماه داره تقریبا ساید وی میره واقعا برام عجیبههههه'
2858,'فروشنده های این روزا در چه حالننننننننن؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟؟'
2859,'نشانه های برگشت سهم به وضوح دیده می شود هفته آینده متعلق به فرابورس ،کالا و بورس می باشد
2860,صبوران پیروزند'
2861,'-5 خریدم+4 شد طلاست واقعا'
2862,'دارند از کف قیمت استفاده کامل می‌برند. نیمه دوم بازار مثبت و صف در سقف قیمتو  داریم '
2863,'حمایت معتبر'
2864,'برد با صابران است فقط سهامداری کنید لطفا اگه صبر ندارید اصلا از معاملات بورس خارج شید '
2865,'شک نکنید بورس و فرابورس سلطان بازارند '
2866,'این فردا  مثبت ۵+'
2867,'اشک همه رو در میاره این سهم
2868,به گزارش مالی توجه نکنید
2869,همش دستکاری شده هست
2870,همش اختلاس و دزدی
2871,نخر برادر من نخر
2872,خودتو بدبخت نکن'
2873,'دزدی در روز روشن که رئیس دزدها خود دولتهای شک نکنید'
2874,'فردا تو منفی باز میشه تو مثبت بسته میشه الان به خط حمایت 3ماهه خودش رسیده و تا 15400 میره بالا'
2875,'من برای دومین روز پله خریدم و فردا هم اگه منفی باشه 
2876,فرصت رو از دست ندید 
2877,'
2878,'لطفاً از شکایتی که تو فارس من توسط دوستان شده حمایت کنید
2879,my/c/33897'
2880,'بخدا خیلی از کامنتها بویی از تحلیل ندارن'
2881,'از نظر من این سهم تو کف قیمتشه فردا یا نهایتا پسفردا باید یرگرده
2882,مدیریت غلط جهت لغو مجمع باعث ریزش شده
2883,دوستانی هم که نمیخوان سهمو بفروشن
2884,ولی با ای حرف که دارن پول مردمو میخورن کنار نمیام 
2885,اگه فکر میکنید پولتونو میخورن از بازار برید بیرون'
2886,'این سهم رو نخرین
2887,افتضاحه
2888,همون کلر هست این سهم
2889,کلر کلر کلر کلر کلر'
2890,'سلام
2891,دوست عزیز شما خریدهاتو بر اساس خبرای که من میدم انجام نده.
2892,لطفا'
2893,'بازار عجیبی شده سهامایی مثل بورس یا توریل با افزایش چند صد درصدی سودآوری دارن منفی میخورن بعد سهمای زیانده دولتی هر روز +5 با صف میلیاردی امیدوارم هر چه سریع تر این صندوقای دولت عرضه بشه تا بازاری منطقی و متعادل و به دور از هیجان شاهد باشیم'
2894,'#بورس
2895,#بورس
2896,اطلاعات و صورت‌های مالی میاندوره‌ای #دوره_3_ماهه منتهی به 1399/03/31 (حسابرسی نشده)
2897,'بدون شرح'
2898,'سهم عالی هست، سه ساله هر چی پول اضافه میارم بورس میخرم، بسیار  کارشناسی و درست میره جلو'
2899,'اصلاح بورس باید در محدوده  قیمت 132585 تمام شود'
2900,'باسلام و دوستان عزیز.
2901,به قول قدیمیهای بازار سرمایه،هر وقت سهمی خسته ات کرد بدون وقت رشدش رسیده،بازیگران سهما همینو میخوان،میخوان خسته کنن شمارو،رو اعصابتون راه برن.مواظب باشید'
2902,'دستکاری دولت در بورس کاملا مشهوده.........'
2903,'دارن پول ملت رو هاپولی می کنن'
2904,'مجمع کنسل شد'
2905,'من امروز خریدم اگه افزایش سرمایه بده مزایاش شامل منم میشه'
2906,'خبری خوش شنیدم خداکنه صحت داشته باشه'
2907,'برید مفت بخرید ، حراج زدن به سهمشون .بدو بدو 🤣🤣'
2908,'مناسب ورود'
2909,'بازار مثبت فرابورس منفی بورس منفی کالا منفی بازار منفی اینا همش منفی شاخص سازها مثبت اینها منفی سهامهای کوچک مثبت اینها منفی اینا رو قبلا پیش خور کردن رفته هم مایشو خوردن هم  ۔۔۔۔۔۔۔'
2910,'فک کنم میخواد یه تکونی بده به خودش😅'
2911,'نگران نباشید صبر پیشه کنید . جا خالی نکنید. به امید خدا از فردا پس فردا استارت رو شروع میکنه'
2912,'خسته مون کرده لامصب'
2913,'دوستان تابلوی بورس رو اگه ببینید تا صف جمع میشه دوباره صف فروش ساختگی ایجاد میشه
2914,اما یه نکته داره 
2915,اونم اینکه ۹۰ نفر معادل یک میلیون صف فروش ایجاد میکنند یعنی تقریبا هر کد ده هزار سهم 
2916,حالا اینو تعداد سهام باقیمانده افراد در صف فروش رو تقسیم بر تعداد سهامدارها کنید برای هر کد فقط ۵۰۰ سهم در صف فروش هست و این نشون میده که چجوری دارند جمع میکنند سهم رو
2917,اینم متاسفانه خصلت ما ایرانیهای صف دوست'
2918,'سهامتون رو مفت فروختید '
2919,'چند روزی منفی بخوره مردم سهمشون رو بفروشن بعد بعد بره مجمع باز که شد یک ماه هر روز پنج درصد رشد کنه این یه سیاسته نفروشید البته کسی نمیفروشه حقوقی الکی خرید فروش میکنه که اونم تو منفی ۵ تا همه فرار کنن'
2920,'کی ملوم میشه تاریخ جدید مجمع کی هست؟'
2921,'پیرو آگهی منتشره در تاریخ 1399/04/18 در خصوص دعوت به مجمع عمومی عادی سالیانه راُس ساعت 15:00 روز یکشنبه مورخ 1399/04/29 به اطلاع میرساند مجمع عمومی عادی سالیانه در تاریخ مذکور برگزار نمی گردد و تصمیم گیری در خصوص دستور جلسات ذیل به مجامع بعدی که تاریخ آن متعاقباً اعلام میگردد موکول گردید'
2922,'افزایش سرمایه چند درصده و از چه محلی؟'
2923,'باتوجه به تاریخ اعلام شده برای مجمع آیا فردا بسته است؟'
2924,'این دومین بار هست که به فیبوی 161 واکنش نشون میده 
2925,سری قبل که این اتفاق افتاد حجم نسبتا زیادی معامله شد و انگار اینبار هم نوسان گیر ها خالی کردند
2926,اختلاف بین قیمت پایانی و قیمت لحظه ای هم توی نیم ساعت پایانی روز چهارشنبه بیش از 2 درصد بوده که نشان از این هست که شروع فعالیت سهم در روز شنبه در محدوده منفی و حتی شاید در حالت صف فروش باشه
2927,فقط خدا کنه همون شنبه آخر وقت همه نوسانگیرا و اونایی که تو سر سهم میزنن به لطف خرید بالای حقیقی ها از سهم جا بمونن و تا 170000 یه نفس راحت بکشیم'
2928,'#بورس
2929,یه سهم برای رشد دیگه چی میخواد  
2930,اصلا افزایش سرمایه رایکان از انباشته به کنار 
2931,وضعیت شرکت را با سال قبل و با ماههای قبل نشان از اتشفشانی هست که انتظار فوران را باید ازش داشت'
2932,'در پاسخ به آقای ادریس زاهدی :
2933,اگر در اندیکاتور rsi خط روند صعودی میان مدت و خط روند نزولی کوتاه مدت را رسم بفرمایید مشاهده می کنید که سهم همچنان بالای خط روند صعودی میان مدت (اگر نگوییم بلند مدت) در حال حرکت می باشد. از طرف دیگر همین اواخر خط روند نزولی بر روی rsi را رو به بالا شکسته و روند صعودی در پیش گرفته است. لذا به نظر می رسد صرف نظر از حرکات نوسانی که طبیعت هر چارت قیمت می باشد ، اهداف 16400 ، 20000 و 27000 تومان را می توان در کوتاه مدت و میان مدت برای نماد بورس متصور بود. حد ضرر 14000 تومن.'
2934,'از 17 اسفند 98 تا کنون نمودار داره سقف های بالاتری رو ثبت میکنه (4 تا سقف که هرکدوم از قبلی بالاتره) در همین مدت اندیکاتور MACD داره سقف های پایین تری رو ثبت میکنه (3 تا سقف که هر کدوم از قبلی پایین تر) در تکنیکال این یعنی واگرایی منفی و واگرایی منفی نشان از ریزش شدید داره. اگر ممکنه کسانی که تجربه بیشتری دارن در این مورد توضیح بدن آیا این تحلیل درست هست (از لحاظ تکنیکال)؟ 
2935,(در ضمن تحلیل واگرایی منفی یکی از تحلیل های مهم و مورد توجه تکنیکالی هست)'
2936,'😂😂نه هاپولی چیه؟
2937,چند روز دیگه تاریخ جدیدشو اعلام میکنن
2938,بعدا علاوه بر این ۱۰۰ درصد یه ۱۰۰ درصد دیگه ام درپیشه
2939,'
2940,'چرا مجمع افزایش سرمایه رو لغو کردن؟میخوان پول ملت رو هاپولی کنن....'
2941,'چقدر ارومه اینجا'
2942,'سهم با این بنیاد عالی و سودسازی زیاد
2943,از نظر بنیادی :
2944,* درامد کل (فروش کل) حدود 470 درصد رشد نسبت به میانگین فصل سال گذشته
2945,* درامد کل (فروش کل) فروردین و اردیببهشت و خرداد حدود 109 درصد رشد داشته نسبت به دی و بهمن و اسفند ماه
2946,* مبلغ فروش (فروردین - اردیبهشت-خرداد) فقط از درامد حاصل از کارمزد معاملات نسبت به (دی -بهمن-اسفند) حدود 126 درصد رشد داشته
2947,از نظر تکنیکال :
2948,مقاومت پیش رو را شکسته است
2949,و منتظر خبر گزارش 3 ماهه اول هستش به محض ارائه گزارش فرصت ورود در این سهم خیلی سخت میشود
2950,سهامداران ::
2951,اخه چرا به خودتون ضرر میزنید و میفروشید 😉😁
2952,تو بازار منفی که شاخص به سمت پایین بود سهم مثبت بود دیگه بهتر از این سهم میخواهید😉😡🤬'
2953,'سهم با این بنیاد عالی و سودسازی زیاد
2954,از نظر بنیادی :
2955,* درامد کل (فروش کل) حدود 470 درصد رشد نسبت به میانگین فصل سال گذشته
2956,* درامد کل (فروش کل) فروردین و اردیببهشت و خرداد حدود 109 درصد رشد داشته نسبت به دی و بهمن و اسفند ماه
2957,* مبلغ فروش (فروردین - اردیبهشت-خرداد) فقط از درامد حاصل از کارمزد معاملات نسبت به (دی -بهمن-اسفند) حدود 126 درصد رشد داشته
2958,از نظر تکنیکال :
2959,مقاومت پیش رو را شکسته است
2960,و منتظر خبر گزارش 3 ماهه اول هستش به محض ارائه گزارش فرصت ورود در این سهم خیلی سخت میشود
2961,سهامداران ::
2962,اخه چرا به خودتون ضرر میزنید و میفروشید 😉😁
2963,تو بازار منفی که شاخص به سمت پایین بود سهم مثبت بود دیگه بهتر از این سهم میخواهید😉😡🤬'
2964,'سهم با این بنیاد عالی و سودسازی زیاد
2965,از نظر بنیادی :
2966,* درامد کل (فروش کل) حدود 470 درصد رشد نسبت به میانگین فصل سال گذشته
2967,* درامد کل (فروش کل) فروردین و اردیببهشت و خرداد حدود 109 درصد رشد داشته نسبت به دی و بهمن و اسفند ماه
2968,* مبلغ فروش (فروردین - اردیبهشت-خرداد) فقط از درامد حاصل از کارمزد معاملات نسبت به (دی -بهمن-اسفند) حدود 126 درصد رشد داشته
2969,از نظر تکنیکال :
2970,مقاومت پیش رو را شکسته است
2971,و منتظر خبر گزارش 3 ماهه اول هستش به محض ارائه گزارش فرصت ورود در این سهم خیلی سخت میشود
2972,سهامداران ::
2973,اخه چرا به خودتون ضرر میزنید و میفروشید 😉😁
2974,تو بازار منفی که شاخص به سمت پایین بود سهم مثبت بود دیگه بهتر از این سهم میخواهید😉😡🤬'
2975,'سلام 
2976,قرار شد میزان افزایش سرمایه بازبینی شود احتمالا بیش از 300 درصد افزایش سرمایه خواهد داشت .'
2977,'من که تصمیم گرفتم صبر کنم.تا ببینیم چی میشه.'
2978,'تا۱۰روز آینده بسته میشه واسه افزایش سرمایه۱۰۰درصدی
2979,'
2980,'اشتباه شده'
2981,'چرا سهامم دو برابر نشد
2982,قیمت هم اومده پایین
2983,یکی راهنمایی کنه تو رو خدا'
2984,'چرا سهام من دو برابر نشد 
2985,قیمت سهمم اومد پایین
2986,یکی راهنمایی کنه تو رو خدا'
2987,'دوستان کسی از افزایش سرمایه خبری داره ؟؟؟
2988,لطفا اطلاع رسانی کنید 
2989,متشکرم'
2990,'سود نقدی که قراره به سهامداران بده چقدره؟؟'
2991,'از اونجایی که ۲۹ ام مجمع داره نماد چند روز جلوتر بسته میشه'
2992,'تعدادی از عزیزان لطف کردند و تحلیل تکنیکال ارائه دادند که جا داره بهشون خسته نباشید بگیم و  ازشون تشکر کنیم 
2993,همیجا از سهامدارن و شرکای عزیزی که براشون امکان تحلیل روی چارت هست و یا تحلیل گر بنیادی هستند در خواست میکنم که لطف کنن تحلیل کنن و ارائه بدن تا هم از نقطه نظرات هم با خبر بشیم و هم فعالیت اعضا بالا بره و هم گفت و گو ها کارآمدتر بشه تا بتونیم با جمع بندی نظرات به نتیجه خوبی برسیم و تصمیم گیری آسانتری داشته باشیم
2994,انشااله بتونیم همکاری گروهی خوبی رو آغاز کنیم و ثمره اش رو هم ببینیم و پر سود باشیم
2995,پیشاپیش از همکاری بی دریغ همه دوستان و بزرگان نهایت تشکر رو دارم'
2996,'تکمیل و تثبیت پولبک خوشگل به الگوی مثلت در امتداد الگوی پرچم. هدف سقف قبلی ورسیدن به قیمت متعارف برای افزایش سرمایه .احتمالا پولبک به سقف قبلیو ک بزنه سهم میره برای افزایش سرمایه مثل داداش کوچیکه فرابورس عزیز. فراکاب رو به دید سرمایه گذاری بخرید . از حوالی 2 هزار تومن با سهم هستم و هیچوقت نمیفروشم تا دست کم به ارزش ذاتی خودش برسه حوالی دو دلار به نرخ امروز دلار.دوستان نقطه ورود خیلی مهمه بدون دانش و تحلیل خرید نکنید چرا که متضرر میشید و دیدتوت به یه سهم با بنیاد بد میشه.. فراکابها بهترین و تاپ ترین شرکتهای نه بورس ما بلکه همه کشورها میباشند چرا که دربورس هر کشوری انحصار مال فراکابهاست.'
2997,'تکمیل و تثبیت پولبک خوشگل به الگوی مثلت در امتداد الگوی پرچم. هدف سقف قبلی ورسیدن به قیمت متعارف برای افزایش سرمایه .احتمالا پولبک به سقف قبلیو ک بزنه سهم میره برای افزایش سرمایه مثل داداش کوچیکه فرابورس عزیز. فراکاب رو به دید سرمایه گذاری بخرید . از حوالی 2 هزار تومن با سهم هستم و هیچوقت نمیفروشم تا دست کم به ارزش ذاتی خودش برسه حوالی دو دلار به نرخ امروز دلار.دوستان نقطه ورود خیلی مهمه بدون دانش و تحلیل خرید نکنید چرا که متضرر میشید و دیدتوت به یه سهم با بنیاد بد میشه.. فراکابها بهترین و تاپ ترین شرکتهای نه بورس ما بلکه همه کشورها میباشند چرا که دربورس هر کشوری انحصار مال فراکابهاست.'
2998,'صرفا نظر شخصی می باشد'
2999,'سلام دوستان.پیرو صحبت آن عزیزی که فکرش منفی هست اولا اول خودش شروع کرد و من فقط جوابش دادم در ضمن من به هیچ عنوان هیچوقت نگفتم حرف من درسته.اگه نظر من درست بود هیچوقت نمیرفتم سهم بورس بخرم و به سیگنال دیگران اینجا توجه نمیکردم.هیچ وقت از دیگران سیگنال نگیرید اگه میخواهید از کسی مشورت بگیرید هیچوت سراغ دنیای مجازی و نظراتشون نرید.در ضمن من در نظرم که نظر شخصی خودمه و دلیلی بر درست بودنش نیست گفتم سهم هجرت از این هم پایینتر میره و دوباره میره بالا.و پیشنهاد دادم بهترین موقع برای خرید هست چون دارو با وضع تحریم و دلار و بیماری کرونا پیشرفت میکنه.البته من فقط پیش بینی کردم و مثل بقیه که اشتباه میکنن شاید درست نشه و نگفتم معصوم هستم.و زیر نظرات دیگران بهشون حمله نکردم.بهتره همینجا تمومش کنیم و پشت حرف نیاریم.موفق باشید'
3000,'دوستان شما کلاه خودتون بکنید قاضی برید مقاسه کنید مثلا شستا و فولاد هم کوتاه مدت خوب بوده و هم بلند مدت.خوب حالا مثلا میگیم بورس خوبه ولی تا وقتی که این همه سهم خوب و عالی هست مگه مرض داریم بریم سراغ اینجور سهم هایی که معلوم نیست چند بر چند هست.منم هر وقت زیانم صفر شد میفروشمش نیازی به سودش هم ندارم بخوره تو سرش.من چون تازه وارد بازار شدم سهم های مختلفی خریدم نهایت منفی خورش یه هفته بود نه سه هفته آزگار.البته نظرم من اینه.به نظر شما هم احترام میزارم.وقتی فولاد با دو میلیون پول دو روزه 800 هزار سود میده و یا شستا با یک میلیون و پانصد در عرض یک هفته سود 600 هزاری میده خوب مگه مرض دارم بازم تو بورس سرمایه گزاری کنم.هر چی هم بد باشه و هر چی هم بد موقع خرید کنیم نباید این روندش باشه.ما که بخیل نیستیم امیدوارم من اشتباه کرده باشم و شماها به سود فراوتون برسید.امیدوارم به بعضی ها هم بر نخوره نظر اون ها هم محترمه فقط مهمترین اصل احترام به نظر دیگران حتی اگه اشتباه باشه.'
3001,'عزیزی میفرمایند : 
3002, #تنها راه پولدار شدن انتقال به موقع سرمایه از جایی به جای دیگر است#
3003,نمیدونم چرا وقتی کسی توی موقعیت بد ، سرمایه اش رو به جای بدی منتقل میکنه و متضرر میشه شروع به بد و بی راه گفتن علیه اون صنعت یا موقعیت سرمایه گزاری میکنه  و به همه اطرافیانش توصیه میکنه که سراغ اون حرفه یا بازار و.... نرن
3004,جالبه به عقیده خودشون درست ترین کلام دنیا ، کلام خودشونه و همه باید بهش عمل کنن انگار که پیغمبره.
3005,عزیزی که اینجوری فک میکنی جبرئیل 1400 سال پیش بازنشست شد .
3006,اونی که فک کردی وحی شده بهت توهمی بیش نیست...
3007,داستان داریم با این جماعت....'
3008,'فردا اخرین فرصت هست  برای خریدن پرواز '
3009,'من نمیدونم چرا بعضی ها میگن خوبه.من که روند مثبت ندیدم.بالا و پایین زیاد داره.اینایی هم که میگن خوبه شاید گیر خودشون هستند.فعلا که سه هفته هست من خریدم همش منفی فقط 150 هزار تومن ضرر میشه 100 هزار تومن ضرر و دوباره میشه 150 هزار تومن ضرر خوب این کجاش خوبه.شاید قبلا خوب بوده .حالا که فعلا خوب نبوده و روندش نزولی بوده.'
3010,'#بورس
3011,آپدیت
3012,سلام دوستان
3013,قبل از هر چیز اعلام میکنم که متن زیر نظر شخصی بنده میباشد و تمامی مسئولیت خرید یا فروش سهام بر عهده شخص سهامدار محترم میباشد و لاغیر.
3014,طی مدت حدود 45 روز گذشته شاهد صعود 5 موجی و اصلاح 3 موجی کوتاه مدت سهم بودیم که امروز با برخورد کندل با نقطه prz کف چنگال ، نقطه 100 درصد فیبوناچی و کیجنسن ایچیموکو ، اصلاح پایان یافته و پولبک به سمت صعود دوباره انجام شد و روند صعودی در محدوده چنگال کماکان ادامه دارد.
3015,حتی در بدترین شرایط ممکن ، سهم تنها تا روی ابر سبز ایچیموکو اصلاح میکند و بعد از آن محکوم به صعود میباشد.
3016,امروز شاهد بودیم که سهم با مکر حقوقی در - 5 درصد بازگشایی شد اما این موضوع شرایط فردای بازار را به سود سهم رقم زد و مشاهده شد که اختلاف حدود 3 درصد میان قیمت پایانی و آخرین قیمت ، در نیم ساعت پایانی کار بازار اتفاق افتاد و حاکی از ارزش به مراتب بالاتر سهم دارد و بازگشایی سهم در روز آتی روی +5 درصد را تضمین کرده است.
3017,تمامی المان های تکنیکال و فاندامنتال خبر های خوشی را القا میکنند. حقوقی سهم فقط در حال وقت کشی میباشد و درصدد سر ریز کردن صبر سهامداران تازه وارد و عجول ، برای جمع کردن بیش از پیش سهم برای خویش است.
3018,حمایت تمام قد دولت از بازار سرمایه ، انتشار اخبار فوق العاده خوب سهم #بورس ، افزایش سرمایه 100 درصدی ، معاملات روز افزون بازار و به دنبال آن سودآوری شرکت ، رفتار حقوقی سهم و جمع کردن سهم توسط وی با هر ترفندی ، نشان از ارزشمند بودن این سهم دارد.
3019,فراموش نکنید #بورس ، سهم دوسر برد بازار است و در هر شرایطی درآمد یکسان دارد . پس با خیال راحت سهامداری کنید و ...
3020,پر سود باشید...'
3021,'#بورس
3022,آپدیت
3023,سلام دوستان 
