,body
148,'فقط خروج از بورس... که همه رو بد بخت کرد'
149,'خداروشکر این سهم بورس موقعیت خوبی داره آمادگی و پتانسیل خوبی داره 
150,توکل به خدا'
151,'کمر دلار شکسته شد'
152,'چقدر بعضی ها از موقعیت ها می خواند سواستفاده کنند دوستان دوستان تحت تاثیر قرار نگیرید'
153,'ریزش شدید جفت ارز های فارکس 
154,جفت ارزش های مقابل دلار و ین ژاپن ریزش شدیدی را تجربه خواهند کرد بالاخص پوند و یورو و روبل'
155,'به زودی شروع رشد'
156,'هر 4 فراکاب رنج میزنن ... نوسان بین 5 تا 10 درصد .'
157,'می‌خوان این سهم و برگردونند به قیمت 3000 خودش افرادی هستن که اطلاع دارن'
158,'بازار همین الان هم در حال رشد هستش و خیلی ها از خیلی سهم ها عقب موندن 
159,اونوقت بعضی ها تحلیل های رویایی میکنند
160,همین الان بورس فنرش جمع شده برای رشد'
161,'#بورس
162,خرید:7129
163,فروش:11400
164,حدضرر:6146
165,#سود:%60
166,زمان:180روزکاری
167,مهندس محمد مجدآبادی
168,** #تحلیل ات را برایم بفرست**
169,**سلب مسئولیت:این تحلیل صرفا برای افراد متخصص درزمینه مدیریت سرمایه وریسک عرضه می گردد وبرای سایرافراد احتمال از دست دادن کل و یا بخشی ازسرمایه وجود خواهد داشت.**'
170,'هر روز و هر هفته که میگذره تماشاچی ها بیشتر حسرت میخورند که چرا روزهای گذشته خریداری نکردن 
171,چون همه سهم های بازار در حال صعود هستند 
172,نوبت بورس هم نزدیکه'
173,'کاربر imoooo
174,این نماد تا زیر ۱۰۰۰ تو رو میاره...'
175,'انشالله پرقدرت ادامه بده!'
176,'سلام سهامداران عزیز
177,مثل روز روشن بود که با این همه مقاومت در این محدوده قیمتی صعودش از همین محدوده اتفاق می افته
178,خداروشکر صبر شما سهامداران ثمره داد و کل بازار روند صعودی گرفت 
179,خدا به همه شما عزیزان سلامتی و عزت عطا کنه'
180,'تشکیل کف دوقلو و پیش بسوی ۱۲۰۰'
181,'دیروز گفتم 736 خریدم .خب به شکر خدا بازار امروز رو به خیر میگذرونه و به نظرم فردا ترسوهارو پیاده کنه و هدف 1000 برای پله اول مناسب باشه .اگر اینکاره نیستید جاتون تو فراکاپی ها نیست .موفق باشید'
182,'بورس امروز مثبت قوی داره'
